X,Y,d2build_km,d2badger_km,edge_length_km,BUILDING,BADGER,EDGE,SOIL,LANDUSE
469.1009048,353.1390519,0.549787428,0.455988034,0.033776473,0.966958071,-0.736938784,0.572790742,0,Arable
469.1509048,353.1390519,0.501288438,0.406713299,0,0.767970256,-0.905226524,-0.833274126,0,Arable
469.2009048,353.1390519,0.453115858,0.357639943,0.008208699,0.570321674,-1.072826499,-0.491558105,0,Arable
469.2509048,353.1390519,0.405386066,0.308863967,0.040364347,0.374489824,-1.239410835,0.847034097,0,Arable
469.3009048,353.1390519,0.358276074,0.260552434,0.001710469,0.181200963,-1.404408957,-0.762069821,0,Arable
469.3509048,353.1390519,0.312066703,0.213021576,0.012786245,-0.008392712,-1.566740846,-0.301001608,0,Arable
469.4009048,353.1390519,0.267225578,0.166939548,0.020742875,-0.192372576,-1.724124552,0.030221142,0,Arable
469.4509048,353.1390519,0.2245738,0.123933183,0.024450622,-0.367369707,-1.871003966,0.18456924,0,Arable
469.5009048,353.1390519,0.185626705,0.088600535,1.37E-05,-0.527166792,-1.991675371,-0.832702577,0,Arable
469.5509048,353.1390519,0.153235622,0.073079928,0.018498879,-0.660065041,-2.04468282,-0.063193105,0,Arable
469.6009048,353.1390519,0.132306607,0.088494615,0.037055861,-0.745935265,-1.992037121,0.709306657,0,Arable
469.6509048,353.1390519,0.126365312,0.123781735,0.078869574,-0.770311966,-1.871521206,2.449949741,0,Amenity
469.7009048,353.1390519,0.135956297,0.166770917,0,-0.730960853,-1.724700477,-0.833274126,0,Arable
469.7509048,353.1390519,0.143791614,0.212845389,0.056572426,-0.698813121,-1.567342575,1.521752477,0,Arable
469.8009048,353.1390519,0.138308361,0.260372389,0.030568291,-0.721310508,-1.405023865,0.439238727,0,Pasture
469.8509048,353.1390519,0.149128897,0.308681716,0.014297858,-0.676914636,-1.240033274,-0.238075376,0,Pasture
469.9009048,353.1390519,0.130630184,0.357456323,0.037927527,-0.752813507,-1.073453616,0.745592833,0,Pasture
469.9509048,353.1390519,0.126036433,0.375768616,0.072891533,-0.77166133,-1.010911737,2.20109272,0,Pasture
470.0009048,353.1390519,0.140378488,0.339547852,0.051582422,-0.712816924,-1.134616323,1.314025998,0,Pasture
470.0509048,353.1390519,0.168899549,0.307218871,0.012331311,-0.595797095,-1.245029322,-0.319939822,0,Pasture
470.1009048,353.1390519,0.205786285,0.280132335,0,-0.444453508,-1.337537824,-0.833274126,0,Pasture
470.1509048,353.1390519,0.247323539,0.25993233,0.011896026,-0.274029189,-1.406526796,-0.338060081,0,Pasture
470.2009048,353.1390519,0.291530222,0.248305269,0.019626794,-0.092652394,-1.446236634,-0.01623961,0,Arable
470.2509048,353.1390519,0.337353397,0.246467437,0.043907657,0.09535675,-1.452513373,0.994536877,0,Arable
470.3009048,353.1390519,0.383731688,0.254630886,0.024338886,0.285643491,-1.424632788,0.179917797,0,Arable
470.3509048,353.1390519,0.430753993,0.271896265,0.000517652,0.478572577,-1.36566643,-0.81172502,0,Arable
470.4009048,353.1390519,0.478380598,0.296678732,0.021322405,0.673981061,-1.281027003,0.054346163,0,Arable
470.4509048,353.1390519,0.52644752,0.327275053,0.001566855,0.871196131,-1.176531547,-0.768048286,0,Pasture
470.5009048,353.1390519,0.574844314,0.362214924,0,1.069764645,-1.05720159,-0.833274126,0,Pasture
470.5509048,353.1390519,0.623494169,0.400362763,0,1.269371451,-0.926915477,-0.833274126,0,Pasture
470.6009048,353.1390519,0.672342155,0.440886644,0.03152724,1.469791171,-0.78851448,0.479158401,0,Pasture
470.6509048,353.1390519,0.721348021,0.483189118,0.051198229,1.670858663,-0.644039064,1.298032641,0,Amenity
470.7009048,353.1390519,0.770481643,0.526841925,0.070069186,1.872450326,-0.49495186,2.083602667,0,Amenity
470.7509048,353.1390519,0.807883603,0.571535743,0.073374823,2.02590784,-0.342309302,2.221211433,0,Amenity
470.8009048,353.1390519,0.845300277,0.617044404,0.062987752,2.17942572,-0.186883812,1.788813114,0,Amenity
470.8509048,353.1390519,0.883962216,0.663200186,0.008401534,2.338052835,-0.029248211,-0.48353067,0,Arable
470.9009048,353.1390519,0.923713073,0.709876875,0.005250376,2.501147699,0.130166438,-0.614708722,0,Arable
469.1009048,353.0890519,0.539889358,0.450685145,0.032119241,0.926347012,-0.755049711,0.503802538,0,Arable
469.1509048,353.0890519,0.49055065,0.400758931,0.022618696,0.723913896,-0.925562445,0.108308867,0,Arable
469.2009048,353.0890519,0.441360807,0.350853733,0.034342565,0.522091561,-1.096003406,0.596356213,0,Arable
469.2509048,353.0890519,0.39237582,0.300980004,0.00213974,0.321109733,-1.266336889,-0.744199932,0,Arable
469.3009048,353.0890519,0.343649151,0.251156493,0.025403466,0.121187769,-1.436498864,0.2242347,0,Arable
469.3509048,353.0890519,0.295160591,0.201420468,0.008133996,-0.077757254,-1.606362048,-0.494667858,0,Arable
469.4009048,353.0890519,0.247272435,0.151857914,0,-0.274238865,-1.775632778,-0.833274126,0,Arable
469.4509048,353.0890519,0.20041841,0.102720237,0,-0.466477508,-1.943452428,-0.833274126,0,Arable
