grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9,SO.10,SO.11,SO.12,SO.13,SO.14,sep,hab
11,469.6009048,351.1890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
49,469.6009048,351.2390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
50,469.6509048,351.2390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
51,469.7009048,351.2390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
86,469.5509048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
87,469.6009048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
88,469.6509048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
89,469.7009048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
90,469.7509048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
91,469.8009048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
92,469.8509048,351.2890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
123,469.5009048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
124,469.5509048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
125,469.6009048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
126,469.6509048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
127,469.7009048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
128,469.7509048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
129,469.8009048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
130,469.8509048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
131,469.9009048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
132,469.9509048,351.3390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
161,469.5009048,351.3890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
162,469.5509048,351.3890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
163,469.6009048,351.3890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
164,469.6509048,351.3890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
165,469.7009048,351.3890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
166,469.7509048,351.3890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Arable
