SESSION,ANIMAL_ID,grid_50m_ID,SO,SEX
1,MBGreen,593,1,1
1,MHGreen,555,2,1
1,MDYellow,554,3,1
1,FEYellow,708,6,0
1,FFGreen,628,6,0
1,MBYellow,624,6,1
1,FFGreen,600,8,0
1,MBBlue,671,8,1
1,FAYellow,888,9,0
1,FCBlue,638,10,0
1,FCGreen,600,10,0
1,FCBlue,638,11,0
1,FARed,745,12,0
1,FFGreen,707,12,0
1,FFGreen,586,13,0
1,MGGreen,548,13,1
1,FFGreen,596,14,0
1,MGGreen,671,14,1
1,FEYellow,707,15,0
1,MGGreen,810,18,1
1,FCGreen,636,19,0
1,FCGreen,862,21,0
1,FCGreen,742,22,0
1,MAGreen,513,22,1
1,MIBlue,966,22,1
1,MGGreen,889,23,1
1,FCGreen,826,24,0
1,MGGreen,825,24,1
1,FARed,668,25,0
1,FFGreen,669,27,0
1,MGGreen,701,27,1
1,MGGreen,671,28,1
1,FFGreen,631,29,0
1,FCGreen,783,30,0
1,FCWhite,1003,30,0
1,FCWhite,1001,32,0
1,FCWhite,1004,33,0
1,FFGreen,364,33,0
1,FCWhite,1078,34,0
1,FARed,820,35,0
1,FEYellow,861,35,0
1,FFGreen,628,36,0
1,FARed,745,37,0
1,FARed,784,38,0
1,FARed,785,40,0
1,FARed,746,41,0
1,FCWhite,1003,41,0
1,Mgyellow,711,42,1
2,MARed,671,1,1
2,FBRed,670,2,0
2,FCBlue,786,3,0
2,MBYellow,702,3,1
2,FBWhite,555,4,0
2,FCGreen,779,4,0
2,FCGreen,740,5,0
2,FBWhite,592,6,0
2,FEWhite,739,7,0
2,FEYellow,745,8,0
2,FFGreen,741,8,0
2,MABlue,745,8,1
2,MBYellow,741,8,1
2,MCRed,745,8,1
2,FAGreen,630,9,0
2,FBWhite,630,9,0
2,FCGreen,702,9,0
2,FCGreen,778,10,0
2,FEWhite,701,10,0
2,MBYellow,740,10,1
2,FCGreen,739,11,0
2,MBYellow,966,11,1
2,FBBlue,593,12,0
2,FBWhite,1004,13,0
2,MABlue,787,13,1
2,FCGreen,740,14,0
2,FEYellow,556,14,0
2,FAGreen,751,15,0
2,MABlue,673,15,1
2,FAWhite,739,16,0
2,FCGreen,816,16,0
2,FCGreen,777,17,0
2,FCWhite,1044,20,0
2,FBWhite,710,22,0
2,FBYellow,963,23,0
2,MEYellow,702,24,1
2,FEYellow,671,25,0
2,MEYellow,671,25,1
2,FCGreen,632,26,0
2,FBYellow,1079,27,0
2,FCGreen,632,28,0
2,FDBlue,593,28,0
2,FEYellow,598,28,0
2,MEYellow,670,30,1
2,FBYellow,930,31,0
2,FDRed,678,35,0
2,FEYellow,898,36,0
2,FAGreen,559,37,0
2,FCGreen,787,37,0
2,MARed,713,37,1
2,FDRed,598,38,0
2,FEWhite,971,38,0
2,FEYellow,561,38,0
2,FBBlue,671,39,0
2,FCGreen,786,39,0
2,FEYellow,783,39,0
2,MBYellow,670,40,1
2,FEYellow,597,41,0
2,MABlue,673,41,1
2,MIRed,966,41,1
2,MBYellow,670,42,1
2,FBBlue,633,43,0
2,FCGreen,748,43,0
2,FDBlue,784,43,0
2,FEWhite,816,43,0
2,FEYellow,673,43,0
2,MABlue,677,43,1
2,MBYellow,633,43,1
2,MIBlue,626,43,1
2,FEYellow,559,44,0
2,FEYellow,784,45,0
2,FEYellow,745,46,0
2,FCGreen,779,47,0
2,FEYellow,748,47,0
2,FBBlue,670,48,0
2,FEYellow,558,48,0
2,FEYellow,632,49,0
2,FCGreen,786,50,0
2,FEYellow,557,50,0
2,FBYellow,966,51,0
2,FEYellow,635,51,0
2,FCGreen,746,52,0
2,FBBlue,707,53,0
2,FDBlue,745,53,0
2,FEYellow,594,53,0
2,FEYellow,631,55,0
2,FEYellow,783,57,0
2,FEYellow,559,60,0
2,MABlue,671,60,1
3,FABlack,860,1,0
3,FCYellow,623,1,0
3,MBBlack,860,1,1
3,MCGreen,662,1,1
3,FBGreen,592,2,0
3,FCGreen,705,2,0
3,FDBlue,592,2,0
3,MCGreen,742,2,1
3,FBYellow,664,3,0
3,FCGreen,860,3,0
3,MBYellow,860,3,1
3,MDRed,665,3,1
3,MBYellow,662,4,1
3,FBYellow,664,5,0
3,MBYellow,779,5,1
3,MGRed,629,5,1
3,MBYellow,702,6,1
3,MARed,662,7,1
3,MBYellow,595,7,1
3,MDRed,817,7,1
3,MGRed,663,8,1
3,FCGreen,665,9,0
3,MDRed,662,9,1
